season,winner
2019,Punjab Kings
2019,Rajasthan Royals
2019,Mumbai Indians
2019,Sunrisers Hyderabad
2019,Kolkata Knight Riders
2019,Chennai Super Kings
2019,Mumbai Indians
2019,Delhi Capitals
2019,Kolkata Knight Riders
2019,Punjab Kings
2019,Chennai Super Kings
2019,Mumbai Indians
2019,Chennai Super Kings
2019,Delhi Capitals
2019,Rajasthan Royals
2019,Royal Challengers Bangalore
2019,Chennai Super Kings
2019,Delhi Capitals
2019,Mumbai Indians
2019,Punjab Kings
2019,Sunrisers Hyderabad
2019,Mumbai Indians
2019,Royal Challengers Bangalore
2019,Rajasthan Royals
2019,Delhi Capitals
2019,Sunrisers Hyderabad
2019,Royal Challengers Bangalore
2019,Delhi Capitals
2019,Chennai Super Kings
2019,Royal Challengers Bangalore
2019,Rajasthan Royals
2019,Mumbai Indians
2019,Rajasthan Royals
2019,Delhi Capitals
2019,Kolkata Knight Riders
2019,Sunrisers Hyderabad
2019,Chennai Super Kings
2019,Kolkata Knight Riders
2019,Delhi Capitals
2019,Royal Challengers Bangalore
2019,Punjab Kings
2019,Mumbai Indians
2019,Mumbai Indians
2019,Delhi Capitals
2019,Chennai Super Kings
2019,Mumbai Indians
2020,Chennai Super Kings
2020,Royal Challengers Bangalore
2020,Sunrisers Hyderabad
2020,Rajasthan Royals
2020,Kolkata Knight Riders
2020,Punjab Kings
2020,Mumbai Indians
2020,Delhi Capitals
2020,Kolkata Knight Riders
2020,Sunrisers Hyderabad
2020,Mumbai Indians
2020,Kolkata Knight Riders
2020,Delhi Capitals
2020,Chennai Super Kings
2020,Rajasthan Royals
2020,Mumbai Indians
2020,Delhi Capitals
2020,Punjab Kings
2020,Mumbai Indians
2020,Chennai Super Kings
2020,Royal Challengers Bangalore
2020,Delhi Capitals
2020,Sunrisers Hyderabad
2020,Sunrisers Hyderabad
2020,Delhi Capitals
2020,Punjab Kings
2020,Mumbai Indians
2020,Royal Challengers Bangalore
2020,Kolkata Knight Riders
2020,Sunrisers Hyderabad
2020,Royal Challengers Bangalore
2020,Mumbai Indians
2020,Rajasthan Royals
2020,Chennai Super Kings
2020,Mumbai Indians
2020,Kolkata Knight Riders
2020,Punjab Kings
2020,Sunrisers Hyderabad
2020,Rajasthan Royals
2020,Royal Challengers Bangalore
2020,Mumbai Indians
2020,Chennai Super Kings
2020,Rajasthan Royals
2020,Mumbai Indians
2020,Delhi Capitals
2020,Royal Challengers Bangalore
2020,Rajasthan Royals
2020,Sunrisers Hyderabad
2020,Delhi Capitals
2020,Chennai Super Kings
2020,Kolkata Knight Riders
2020,Punjab Kings
2020,Mumbai Indians
2020,Sunrisers Hyderabad
2020,Delhi Capitals
2020,Mumbai Indians
2021,Royal Challengers Bangalore
2021,Delhi Capitals
2021,Kolkata Knight Riders
2021,Punjab Kings
2021,Mumbai Indians
2021,Royal Challengers Bangalore
2021,Rajasthan Royals
2021,Chennai Super Kings
2021,Mumbai Indians
2021,Royal Challengers Bangalore
2021,Delhi Capitals
2021,Chennai Super Kings
2021,Delhi Capitals
2021,Sunrisers Hyderabad
2021,Chennai Super Kings
2021,Royal Challengers Bangalore
2021,Punjab Kings
2021,Rajasthan Royals
2021,Chennai Super Kings
2021,Kolkata Knight Riders
2021,Royal Challengers Bangalore
2021,Chennai Super Kings
2021,Mumbai Indians
2021,Delhi Capitals
2021,Punjab Kings
2021,Mumbai Indians
2021,Rajasthan Royals
2021,Delhi Capitals
2021,Kolkata Knight Riders
2021,Mumbai Indians
2021,Rajasthan Royals
2021,Royal Challengers Bangalore
2021,Chennai Super Kings
2021,Kolkata Knight Riders
2021,Mumbai Indians
2021,Punjab Kings
2021,Sunrisers Hyderabad
2021,Kolkata Knight Riders
2021,Delhi Capitals
2021,Chennai Super Kings
2021,Mumbai Indians
2021,Sunrisers Hyderabad
2021,Royal Challengers Bangalore
2021,Punjab Kings
2021,Royal Challengers Bangalore
2021,Chennai Super Kings
2021,Delhi Capitals
2021,Kolkata Knight Riders
2021,Punjab Kings
2021,Royal Challengers Bangalore
2021,Kolkata Knight Riders
2021,Delhi Capitals
2021,Rajasthan Royals
2021,Delhi Capitals
2021,Chennai Super Kings
2021,Chennai Super Kings
2021,Kolkata Knight Riders
2021,Kolkata Knight Riders
2021,Chennai Super Kings
2022,Kolkata Knight Riders
2022,Delhi Capitals
2022,Punjab Kings
2022,Gujarat Titans
2022,Rajasthan Royals
2022,Royal Challengers Bangalore
2022,Lucknow Super Giants
2022,Kolkata Knight Riders
2022,Rajasthan Royals
2022,Gujarat Titans
2022,Punjab Kings
2022,Lucknow Super Giants
2022,Royal Challengers Bangalore
2022,Kolkata Knight Riders
2022,Lucknow Super Giants
2022,Gujarat Titans
2022,Sunrisers Hyderabad
2022,Royal Challengers Bangalore
2022,Delhi Capitals
2022,Rajasthan Royals
2022,Sunrisers Hyderabad
2022,Chennai Super Kings
2022,Punjab Kings
2022,Gujarat Titans
2022,Sunrisers Hyderabad
2022,Lucknow Super Giants
2022,Royal Challengers Bangalore
2022,Sunrisers Hyderabad
2022,Gujarat Titans
2022,Rajasthan Royals
2022,Royal Challengers Bangalore
2022,Delhi Capitals
2022,Chennai Super Kings
2022,Rajasthan Royals
2022,Gujarat Titans
2022,Sunrisers Hyderabad
2022,Lucknow Super Giants
2022,Punjab Kings
2022,Rajasthan Royals
2022,Gujarat Titans
2022,Delhi Capitals
2022,Lucknow Super Giants
2022,Gujarat Titans
2022,Mumbai Indians
2022,Lucknow Super Giants
2022,Chennai Super Kings
2022,Kolkata Knight Riders
2022,Punjab Kings
2022,Royal Challengers Bangalore
2022,Delhi Capitals
2022,Mumbai Indians
2022,Rajasthan Royals
2022,Lucknow Super Giants
2022,Royal Challengers Bangalore
2022,Chennai Super Kings
2022,Kolkata Knight Riders
2022,Gujarat Titans
2022,Delhi Capitals
2022,Mumbai Indians
2022,Punjab Kings
2022,Kolkata Knight Riders
2022,Gujarat Titans
2022,Rajasthan Royals
2022,Delhi Capitals
2022,Sunrisers Hyderabad
2022,Lucknow Super Giants
2022,Royal Challengers Bangalore
2022,Rajasthan Royals
2022,Mumbai Indians
2022,Punjab Kings
2022,Gujarat Titans
2022,Royal Challengers Bangalore
2022,Rajasthan Royals
2022,Gujarat Titans
2023,Gujarat Titans
2023,Punjab Kings
2023,Lucknow Super Giants
2023,Rajasthan Royals
2023,Royal Challengers Bangalore
2023,Chennai Super Kings
2023,Gujarat Titans
2023,Punjab Kings
2023,Kolkata Knight Riders
2023,Lucknow Super Giants
2023,Rajasthan Royals
2023,Chennai Super Kings
2023,Kolkata Knight Riders
2023,Sunrisers Hyderabad
2023,Lucknow Super Giants
2023,Mumbai Indians
2023,Rajasthan Royals
2023,Gujarat Titans
2023,Sunrisers Hyderabad
2023,Royal Challengers Bangalore
2023,Punjab Kings
2023,Mumbai Indians
2023,Rajasthan Royals
2023,Chennai Super Kings
2023,Mumbai Indians
2023,Lucknow Super Giants
2023,Royal Challengers Bangalore
2023,Delhi Capitals
2023,Chennai Super Kings
2023,Gujarat Titans
2023,Punjab Kings
2023,Royal Challengers Bangalore
2023,Chennai Super Kings
2023,Delhi Capitals
2023,Gujarat Titans
2023,Kolkata Knight Riders
2023,Rajasthan Royals
2023,Lucknow Super Giants
2023,Gujarat Titans
2023,Sunrisers Hyderabad
2023,Punjab Kings
2023,Mumbai Indians
2023,Royal Challengers Bangalore
2023,Delhi Capitals
2023,Mumbai Indians
2023,Kolkata Knight Riders
2023,Gujarat Titans
2023,Chennai Super Kings
2023,Delhi Capitals
2023,Gujarat Titans
2023,Sunrisers Hyderabad
2023,Kolkata Knight Riders
2023,Mumbai Indians
2023,Chennai Super Kings
2023,Rajasthan Royals
2023,Mumbai Indians
2023,Lucknow Super Giants
2023,Punjab Kings
2023,Royal Challengers Bangalore
2023,Kolkata Knight Riders
2023,Gujarat Titans
2023,Lucknow Super Giants
2023,Delhi Capitals
2023,Royal Challengers Bangalore
2023,Rajasthan Royals
2023,Chennai Super Kings
2023,Lucknow Super Giants
2023,Mumbai Indians
2023,Gujarat Titans
2023,Chennai Super Kings
2023,Mumbai Indians
2023,Gujarat Titans
2023,Chennai Super Kings
2024,Chennai Super Kings
2024,Punjab Kings
2024,Kolkata Knight Riders
2024,Rajasthan Royals
2024,Gujarat Titans
2024,Royal Challengers Bengaluru
2024,Chennai Super Kings
2024,Sunrisers Hyderabad
2024,Rajasthan Royals
2024,Kolkata Knight Riders
2024,Lucknow Super Giants
2024,Gujarat Titans
2024,Delhi Capitals
2024,Rajasthan Royals
2024,Lucknow Super Giants
2024,Kolkata Knight Riders
2024,Punjab Kings
2024,Sunrisers Hyderabad
2024,Rajasthan Royals
2024,Mumbai Indians
2024,Lucknow Super Giants
2024,Chennai Super Kings
2024,Sunrisers Hyderabad
2024,Gujarat Titans
2024,Mumbai Indians
2024,Delhi Capitals
2024,Rajasthan Royals
2024,Kolkata Knight Riders
2024,Chennai Super Kings
2024,Sunrisers Hyderabad
2024,Rajasthan Royals
2024,Delhi Capitals
2024,Mumbai Indians
2024,Lucknow Super Giants
2024,Sunrisers Hyderabad
2024,Kolkata Knight Riders
2024,Gujarat Titans
2024,Rajasthan Royals
2024,Lucknow Super Giants
2024,Delhi Capitals
2024,Royal Challengers Bengaluru
2024,Punjab Kings
2024,Delhi Capitals
2024,Rajasthan Royals
2024,Royal Challengers Bengaluru
2024,Chennai Super Kings
2024,Kolkata Knight Riders
2024,Lucknow Super Giants
2024,Punjab Kings
2024,Sunrisers Hyderabad
2024,Kolkata Knight Riders
2024,Royal Challengers Bengaluru
2024,Chennai Super Kings
2024,Kolkata Knight Riders
2024,Mumbai Indians
2024,Delhi Capitals
2024,Sunrisers Hyderabad
2024,Royal Challengers Bengaluru
2024,Gujarat Titans
2024,Kolkata Knight Riders
2024,Chennai Super Kings
2024,Royal Challengers Bengaluru
2024,Delhi Capitals
2024,Punjab Kings
2024,Lucknow Super Giants
2024,Royal Challengers Bengaluru
2024,Sunrisers Hyderabad
2024,Kolkata Knight Riders
2024,Rajasthan Royals
2024,Sunrisers Hyderabad
2024,Kolkata Knight Riders
2025,Royal Challengers Bengaluru
2025,Sunrisers Hyderabad
2025,Chennai Super Kings
2025,Delhi Capitals
2025,Punjab Kings
2025,Kolkata Knight Riders
2025,Lucknow Super Giants
2025,Royal Challengers Bengaluru
2025,Gujarat Titans
2025,Delhi Capitals
2025,Rajasthan Royals
2025,Mumbai Indians
2025,Punjab Kings
2025,Gujarat Titans
2025,Kolkata Knight Riders
2025,Lucknow Super Giants
2025,Delhi Capitals
2025,Rajasthan Royals
2025,Lucknow Super Giants
2025,Gujarat Titans
2025,Royal Challengers Bengaluru
2025,Punjab Kings
2025,Gujarat Titans
2025,Delhi Capitals
2025,Kolkata Knight Riders
2025,Lucknow Super Giants
2025,Sunrisers Hyderabad
2025,Royal Challengers Bengaluru
2025,Mumbai Indians
2025,Chennai Super Kings
2025,Punjab Kings
2025,Mumbai Indians
2025,Punjab Kings
2025,Gujarat Titans
2025,Lucknow Super Giants
2025,Royal Challengers Bengaluru
2025,Mumbai Indians
2025,Gujarat Titans
2025,Delhi Capitals
2025,Mumbai Indians
2025,Royal Challengers Bengaluru
2025,Sunrisers Hyderabad
2025,Mumbai Indians
2025,Royal Challengers Bengaluru
2025,Rajasthan Royals
2025,Kolkata Knight Riders
2025,Punjab Kings
2025,Mumbai Indians
2025,Gujarat Titans
2025,Royal Challengers Bengaluru
2025,Kolkata Knight Riders
2025,Punjab Kings
2025,Gujarat Titans
2025,Chennai Super Kings
2025,Punjab Kings
2025,Gujarat Titans
2025,Sunrisers Hyderabad
2025,Rajasthan Royals
2025,Mumbai Indians
2025,Lucknow Super Giants
2025,Sunrisers Hyderabad
2025,Chennai Super Kings
2025,Sunrisers Hyderabad
2025,Punjab Kings
2025,Royal Challengers Bengaluru
2025,Royal Challengers Bengaluru
2025,Mumbai Indians
2025,Punjab Kings
2025,Royal Challengers Bengaluru
2025,Delhi Capitals
2008,Kolkata Knight Riders
2008,Chennai Super Kings
2008,Delhi Capitals
2008,Royal Challengers Bangalore
2008,Kolkata Knight Riders
2008,Rajasthan Royals
2008,Delhi Capitals
2008,Chennai Super Kings
2008,Rajasthan Royals
2008,Punjab Kings
2008,Rajasthan Royals
2008,Chennai Super Kings
2008,Deccan Chargers
2008,Punjab Kings
2008,Chennai Super Kings
2008,Mumbai Indians
2008,Delhi Capitals
2008,Punjab Kings
2008,Rajasthan Royals
2008,Delhi Capitals
2008,Royal Challengers Bangalore
2008,Punjab Kings
2008,Mumbai Indians
2008,Rajasthan Royals
2008,Punjab Kings
2008,Deccan Chargers
2008,Mumbai Indians
2008,Chennai Super Kings
2008,Kolkata Knight Riders
2008,Rajasthan Royals
2008,Mumbai Indians
2008,Chennai Super Kings
2008,Kolkata Knight Riders
2008,Rajasthan Royals
2008,Punjab Kings
2008,Kolkata Knight Riders
2008,Mumbai Indians
2008,Punjab Kings
2008,Delhi Capitals
2008,Mumbai Indians
2008,Punjab Kings
2008,Rajasthan Royals
2008,Mumbai Indians
2008,Chennai Super Kings
2008,Delhi Capitals
2008,Rajasthan Royals
2008,Punjab Kings
2008,Royal Challengers Bangalore
2008,Punjab Kings
2008,Delhi Capitals
2008,Rajasthan Royals
2008,Royal Challengers Bangalore
2008,Kolkata Knight Riders
2008,Rajasthan Royals
2008,Chennai Super Kings
2008,Rajasthan Royals
2008,Chennai Super Kings
2008,Rajasthan Royals
2009,Mumbai Indians
2009,Royal Challengers Bangalore
2009,Delhi Capitals
2009,Deccan Chargers
2009,Chennai Super Kings
2009,Kolkata Knight Riders
2009,Deccan Chargers
2009,Delhi Capitals
2009,Punjab Kings
2009,Deccan Chargers
2009,Delhi Capitals
2009,Punjab Kings
2009,Deccan Chargers
2009,Mumbai Indians
2009,Rajasthan Royals
2009,Royal Challengers Bangalore
2009,Punjab Kings
2009,Delhi Capitals
2009,Chennai Super Kings
2009,Mumbai Indians
2009,Royal Challengers Bangalore
2009,Rajasthan Royals
2009,Chennai Super Kings
2009,Punjab Kings
2009,Royal Challengers Bangalore
2009,Chennai Super Kings
2009,Rajasthan Royals
2009,Delhi Capitals
2009,Deccan Chargers
2009,Rajasthan Royals
2009,Chennai Super Kings
2009,Delhi Capitals
2009,Punjab Kings
2009,Chennai Super Kings
2009,Mumbai Indians
2009,Delhi Capitals
2009,Deccan Chargers
2009,Royal Challengers Bangalore
2009,Mumbai Indians
2009,Delhi Capitals
2009,Royal Challengers Bangalore
2009,Rajasthan Royals
2009,Punjab Kings
2009,Chennai Super Kings
2009,Deccan Chargers
2009,Punjab Kings
2009,Delhi Capitals
2009,Kolkata Knight Riders
2009,Royal Challengers Bangalore
2009,Kolkata Knight Riders
2009,Chennai Super Kings
2009,Delhi Capitals
2009,Royal Challengers Bangalore
2009,Deccan Chargers
2009,Royal Challengers Bangalore
2009,Deccan Chargers
2010,Kolkata Knight Riders
2010,Mumbai Indians
2010,Delhi Capitals
2010,Kolkata Knight Riders
2010,Deccan Chargers
2010,Delhi Capitals
2010,Royal Challengers Bangalore
2010,Chennai Super Kings
2010,Mumbai Indians
2010,Royal Challengers Bangalore
2010,Chennai Super Kings
2010,Deccan Chargers
2010,Rajasthan Royals
2010,Royal Challengers Bangalore
2010,Deccan Chargers
2010,Mumbai Indians
2010,Royal Challengers Bangalore
2010,Rajasthan Royals
2010,Mumbai Indians
2010,Rajasthan Royals
2010,Kolkata Knight Riders
2010,Delhi Capitals
2010,Rajasthan Royals
2010,Mumbai Indians
2010,Delhi Capitals
2010,Mumbai Indians
2010,Chennai Super Kings
2010,Delhi Capitals
2010,Kolkata Knight Riders
2010,Royal Challengers Bangalore
2010,Chennai Super Kings
2010,Mumbai Indians
2010,Punjab Kings
2010,Delhi Capitals
2010,Rajasthan Royals
2010,Chennai Super Kings
2010,Rajasthan Royals
2010,Kolkata Knight Riders
2010,Deccan Chargers
2010,Punjab Kings
2010,Deccan Chargers
2010,Royal Challengers Bangalore
2010,Punjab Kings
2010,Mumbai Indians
2010,Deccan Chargers
2010,Mumbai Indians
2010,Chennai Super Kings
2010,Royal Challengers Bangalore
2010,Delhi Capitals
2010,Deccan Chargers
2010,Mumbai Indians
2010,Kolkata Knight Riders
2010,Chennai Super Kings
2010,Deccan Chargers
2010,Kolkata Knight Riders
2010,Mumbai Indians
2010,Chennai Super Kings
2010,Royal Challengers Bangalore
2010,Chennai Super Kings
2011,Chennai Super Kings
2011,Rajasthan Royals
2011,Royal Challengers Bangalore
2011,Mumbai Indians
2011,Pune Warriors
2011,Kolkata Knight Riders
2011,Rajasthan Royals
2011,Mumbai Indians
2011,Punjab Kings
2011,Pune Warriors
2011,Deccan Chargers
2011,Kolkata Knight Riders
2011,Kochi Tuskers Kerala
2011,Chennai Super Kings
2011,Punjab Kings
2011,Delhi Capitals
2011,Kolkata Knight Riders
2011,Kochi Tuskers Kerala
2011,Deccan Chargers
2011,Mumbai Indians
2011,Kochi Tuskers Kerala
2011,Punjab Kings
2011,Mumbai Indians
2011,Royal Challengers Bangalore
2011,Delhi Capitals
2011,Mumbai Indians
2011,Rajasthan Royals
2011,Chennai Super Kings
2011,Royal Challengers Bangalore
2011,Chennai Super Kings
2011,Deccan Chargers
2011,Kolkata Knight Riders
2011,Rajasthan Royals
2011,Royal Challengers Bangalore
2011,Delhi Capitals
2011,Kolkata Knight Riders
2011,Rajasthan Royals
2011,Chennai Super Kings
2011,Mumbai Indians
2011,Kochi Tuskers Kerala
2011,Kolkata Knight Riders
2011,Chennai Super Kings
2011,Mumbai Indians
2011,Kochi Tuskers Kerala
2011,Delhi Capitals
2011,Royal Challengers Bangalore
2011,Kolkata Knight Riders
2011,Mumbai Indians
2011,Royal Challengers Bangalore
2011,Pune Warriors
2011,Chennai Super Kings
2011,Pune Warriors
2011,Punjab Kings
2011,Royal Challengers Bangalore
2011,Chennai Super Kings
2011,Punjab Kings
2011,Royal Challengers Bangalore
2011,Deccan Chargers
2011,Punjab Kings
2011,Kochi Tuskers Kerala
2011,Deccan Chargers
2011,Punjab Kings
2011,Chennai Super Kings
2011,Kolkata Knight Riders
2011,Rajasthan Royals
2011,Deccan Chargers
2011,Royal Challengers Bangalore
2011,Mumbai Indians
2011,Chennai Super Kings
2011,Mumbai Indians
2011,Royal Challengers Bangalore
2011,Chennai Super Kings
2012,Mumbai Indians
2012,Delhi Capitals
2012,Pune Warriors
2012,Rajasthan Royals
2012,Royal Challengers Bangalore
2012,Chennai Super Kings
2012,Rajasthan Royals
2012,Pune Warriors
2012,Mumbai Indians
2012,Kolkata Knight Riders
2012,Delhi Capitals
2012,Mumbai Indians
2012,Chennai Super Kings
2012,Punjab Kings
2012,Kolkata Knight Riders
2012,Delhi Capitals
2012,Pune Warriors
2012,Punjab Kings
2012,Rajasthan Royals
2012,Delhi Capitals
2012,Rajasthan Royals
2012,Royal Challengers Bangalore
2012,Kolkata Knight Riders
2012,Delhi Capitals
2012,Chennai Super Kings
2012,Royal Challengers Bangalore
2012,Chennai Super Kings
2012,Pune Warriors
2012,Punjab Kings
2012,Kolkata Knight Riders
2012,Royal Challengers Bangalore
2012,Delhi Capitals
2012,Mumbai Indians
2012,Deccan Chargers
2012,Delhi Capitals
2012,Punjab Kings
2012,Kolkata Knight Riders
2012,Delhi Capitals
2012,Mumbai Indians
2012,Kolkata Knight Riders
2012,Deccan Chargers
2012,Delhi Capitals
2012,Punjab Kings
2012,Mumbai Indians
2012,Chennai Super Kings
2012,Kolkata Knight Riders
2012,Rajasthan Royals
2012,Mumbai Indians
2012,Royal Challengers Bangalore
2012,Kolkata Knight Riders
2012,Rajasthan Royals
2012,Punjab Kings
2012,Royal Challengers Bangalore
2012,Chennai Super Kings
2012,Royal Challengers Bangalore
2012,Mumbai Indians
2012,Chennai Super Kings
2012,Rajasthan Royals
2012,Punjab Kings
2012,Mumbai Indians
2012,Chennai Super Kings
2012,Delhi Capitals
2012,Kolkata Knight Riders
2012,Punjab Kings
2012,Royal Challengers Bangalore
2012,Deccan Chargers
2012,Delhi Capitals
2012,Kolkata Knight Riders
2012,Deccan Chargers
2012,Mumbai Indians
2012,Kolkata Knight Riders
2012,Chennai Super Kings
2012,Chennai Super Kings
2012,Kolkata Knight Riders
2013,Kolkata Knight Riders
2013,Royal Challengers Bangalore
2013,Sunrisers Hyderabad
2013,Rajasthan Royals
2013,Mumbai Indians
2013,Punjab Kings
2013,Rajasthan Royals
2013,Mumbai Indians
2013,Chennai Super Kings
2013,Royal Challengers Bangalore
2013,Pune Warriors
2013,Sunrisers Hyderabad
2013,Mumbai Indians
2013,Chennai Super Kings
2013,Kolkata Knight Riders
2013,Rajasthan Royals
2013,Pune Warriors
2013,Punjab Kings
2013,Sunrisers Hyderabad
2013,Rajasthan Royals
2013,Chennai Super Kings
2013,Sunrisers Hyderabad
2013,Chennai Super Kings
2013,Royal Challengers Bangalore
2013,Delhi Capitals
2013,Punjab Kings
2013,Chennai Super Kings
2013,Royal Challengers Bangalore
2013,Punjab Kings
2013,Mumbai Indians
2013,Chennai Super Kings
2013,Kolkata Knight Riders
2013,Rajasthan Royals
2013,Mumbai Indians
2013,Chennai Super Kings
2013,Delhi Capitals
2013,Rajasthan Royals
2013,Mumbai Indians
2013,Chennai Super Kings
2013,Sunrisers Hyderabad
2013,Delhi Capitals
2013,Chennai Super Kings
2013,Royal Challengers Bangalore
2013,Kolkata Knight Riders
2013,Sunrisers Hyderabad
2013,Punjab Kings
2013,Mumbai Indians
2013,Rajasthan Royals
2013,Royal Challengers Bangalore
2013,Rajasthan Royals
2013,Mumbai Indians
2013,Chennai Super Kings
2013,Rajasthan Royals
2013,Kolkata Knight Riders
2013,Royal Challengers Bangalore
2013,Mumbai Indians
2013,Sunrisers Hyderabad
2013,Kolkata Knight Riders
2013,Rajasthan Royals
2013,Punjab Kings
2013,Mumbai Indians
2013,Pune Warriors
2013,Chennai Super Kings
2013,Mumbai Indians
2013,Punjab Kings
2013,Sunrisers Hyderabad
2013,Punjab Kings
2013,Pune Warriors
2013,Royal Challengers Bangalore
2013,Sunrisers Hyderabad
2013,Chennai Super Kings
2013,Rajasthan Royals
2013,Mumbai Indians
2013,Mumbai Indians
2014,Kolkata Knight Riders
2014,Royal Challengers Bangalore
2014,Punjab Kings
2014,Rajasthan Royals
2014,Royal Challengers Bangalore
2014,Delhi Capitals
2014,Punjab Kings
2014,Chennai Super Kings
2014,Punjab Kings
2014,Chennai Super Kings
2014,Kolkata Knight Riders
2014,Sunrisers Hyderabad
2014,Chennai Super Kings
2014,Rajasthan Royals
2014,Punjab Kings
2014,Delhi Capitals
2014,Chennai Super Kings
2014,Punjab Kings
2014,Sunrisers Hyderabad
2014,Chennai Super Kings
2014,Mumbai Indians
2014,Rajasthan Royals
2014,Royal Challengers Bangalore
2014,Rajasthan Royals
2014,Chennai Super Kings
2014,Mumbai Indians
2014,Kolkata Knight Riders
2014,Punjab Kings
2014,Sunrisers Hyderabad
2014,Punjab Kings
2014,Sunrisers Hyderabad
2014,Chennai Super Kings
2014,Kolkata Knight Riders
2014,Rajasthan Royals
2014,Mumbai Indians
2014,Chennai Super Kings
2014,Royal Challengers Bangalore
2014,Punjab Kings
2014,Kolkata Knight Riders
2014,Rajasthan Royals
2014,Royal Challengers Bangalore
2014,Kolkata Knight Riders
2014,Mumbai Indians
2014,Punjab Kings
2014,Sunrisers Hyderabad
2014,Kolkata Knight Riders
2014,Mumbai Indians
2014,Kolkata Knight Riders
2014,Sunrisers Hyderabad
2014,Mumbai Indians
2014,Punjab Kings
2014,Chennai Super Kings
2014,Kolkata Knight Riders
2014,Punjab Kings
2014,Mumbai Indians
2014,Kolkata Knight Riders
2014,Chennai Super Kings
2014,Punjab Kings
2014,Kolkata Knight Riders
2015,Kolkata Knight Riders
2015,Chennai Super Kings
2015,Rajasthan Royals
2015,Chennai Super Kings
2015,Royal Challengers Bangalore
2015,Rajasthan Royals
2015,Punjab Kings
2015,Sunrisers Hyderabad
2015,Rajasthan Royals
2015,Kolkata Knight Riders
2015,Delhi Capitals
2015,Rajasthan Royals
2015,Chennai Super Kings
2015,Delhi Capitals
2015,Kolkata Knight Riders
2015,Rajasthan Royals
2015,Mumbai Indians
2015,Kolkata Knight Riders
